Metabolite,LE-197_1-U2,LE19-10_1-A1,LE19-10_1-A2,LE19-10_1-A3,LE19-10_1-N1,LE19-10_1-N2,LE19-10_1-N3,LE19-10_1-U1,LE19-10_1-U2,LE19-10_1-U3,LE19-197_1-A1,LE19-197_1-A2,LE19-197_1-A3,LE19-197_1-N1,LE19-197_1-N2,LE19-197_1-N3,LE19-197_1-U1,LE19-197_1-U3,PCC-7806-A1,PCC-7806-N1,PCC-7806-U1,PCC7806-A2,PCC7806-A3,PCC7806-N2,PCC7806-N3,PCC7806-U2,PCC7806-U3
271,0,1029.4899,0,8002.5024,447399.47,298276.03,224271.9,1603.5327,3537.5195,8160.5107,0,0,0,17630.38,4414.7773,1783.6361,0,0,18766.633,206084.86,107315.38,17799.297,28080.244,333780.44,266603.06,114587.36,96364.055
805,4953.4653,3165.1697,7276.6104,0,14762.292,3848.9,10703.135,4410.9414,5493.796,1119.5151,0,1192.2131,22055.664,126226.54,5466.6665,1226.0444,2482.6372,1626.38,3716.1016,40609.508,0,0,0,23655.916,24179.488,1386.4944,0
796,0,130958.32,210990.02,133366.23,358959.4,155483.33,298676.44,67942.54,69601.2,48746.156,0,0,0,23143.88,1626.7114,0,0,0,25892.633,259622.47,3727.5105,32611.219,30672.645,228911.25,218008.17,5511.9604,3624.8972
806,0,0,0,0,0,0,0,0,0,0,0,0,0,6496.3784,0,0,0,0,0,953.4307,0,0,0,0,0,0,0
421,816955.25,335154.6,480149.94,415852.2,791569.9,616722.1,519342.7,508757.28,488772.56,416943.78,440545.22,365934.06,297865.25,436833.66,470882.16,302777.22,660201.75,632605,0,0,4803.0615,0,0,0,0,4386.9575,2018.8999
292,6157.7627,8639.394,13036.108,12434.875,1041396.1,58648.375,111346.3,14034.169,83697.945,604200.8,14407.115,6383763,323880.44,885104.06,357957.66,64194.664,8854.857,9144.661,12005.511,66337.38,20745.688,16698.725,13949.883,11105.148,16454.562,48833.105,35790.53
395,38779.51,504873.1,627287.94,180844.47,590.4282,0,0,129094.94,372633.38,29089.926,0,28455.428,53818.074,0,0,0,0,19962.217,80033,0,23371.703,65130.08,95359.266,0,0,0,25249.32
343,404996.66,1399094.4,1540853.9,1626432.8,430473.16,307862.53,711202.4,2813427.2,2498874.2,2097133.8,379888.72,456715.53,947313.5,369181.78,585550.2,837672,292487.47,355361.75,267795.4,180262.27,187665.08,245087.78,73765.836,272470.94,267063.2,308905.5,183579.42
441,1529126.2,672618.2,248245.03,57740.145,523815.28,158521.62,675510.3,51348.355,380997.4,39949.66,1007776.1,1426348,1580324.6,507061.62,506062.3,492510.53,1502775.6,1642422.8,187811.56,1206873.9,526677.25,320059.3,456139.97,1643515.2,1093451,284553.8,244688.58
503,0,0,0,0,10821063,5376549.5,9525171,0,0,0,0,0,0,570738.6,2646662.8,1428121.8,0,0,0,1818737.5,0,0,0,2185124.2,2338680.5,0,0
208,10964.235,10001.4795,24799.586,2895.6985,58632.492,36529.574,110222.46,5059.345,6633.3125,4864.0757,2739.7412,8004.542,9448.893,14671.46,55485.812,38525.445,20444.88,8139.014,7688.248,538765.25,3322.4922,9042.113,9684.448,291061.94,302352.6,2388.1,6730.133
672,0,0,0,0,0,0,2226.8074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,5419.4595,53360.02,111737.58,127278.336,563071.06,338065.3,537461.2,41231.94,29154.615,21906.027,1453.6533,1743.242,874.1574,0,32077.676,0,6064.033,1789.9629,10227.171,31891.201,1133.611,11633.563,0,55457.305,73957.6,24097.303,769.05524
209,9090.128,15604.96,20863.793,16168.183,237913.36,315402.94,511511.25,23108.754,44267.92,21181.043,6598.0283,7591.75,6319.5117,2075.1335,8323.273,6488.3203,12577.971,8137.816,2693.2988,1114170.1,14983.826,5093.338,3870.3628,1170900.4,972176.6,9729.479,10346.317
296,628582.8,118058.805,127556.16,161954.06,1260.5791,7074.3022,7423.9946,65906.75,29381.678,69317.07,717508.5,610616.44,738354,12013.7295,12088.891,30392.299,558540.75,478870.84,9349.804,10820.373,19223.53,14448.003,14533.014,15164.399,13517.244,29845.738,23371.95
412,386.67557,493.95087,440.51505,0,29744.885,7794.159,7361.3086,0,279.6206,563.71106,455.11346,0,0,28940.943,11715.082,4478.1816,632.5001,383.9085,385.30676,44327.605,403.57254,393.38037,477.88416,1148210.8,304551.84,0,471.3681
433,0,0,0,0,63532.58,25235.676,9838.245,0,0,0,0,0,0,21785.363,81172.26,36012.08,0,0,0,183691.89,0,0,0,1680940.1,555700.44,0,0
635,1741.2585,84949.164,56251.7,57199.59,379168,81460.125,315951.34,77562.86,74033.65,47848.86,0,455.12817,5044.143,41785.992,9909.515,9993.266,461.77246,1427.7018,15787.422,87261.73,6694.157,9939.052,15541,80043.73,75879.43,9849.833,6907.9956
235,1354056.6,2832359,1922520.2,1786182.9,214351.4,41292.633,53124.043,1822679.2,2238400.5,1189453.4,716397.8,687266.75,957424.1,306066.47,167902.95,123069.41,725942.1,982406.44,1352233.5,36970.473,1636884.9,1517469.2,855236.56,124074.664,77876.32,1950297,2130045.2
